Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	111/530	1.2424409445806489E-30	3.8267181093083984E-28	0	0	3.369814356623507	232.04701672471373	EPO;ITGA2B;ELK1;FGF4;IGF1R;FGF7;RASSF1;CCND2;CDH1;PRKACA;SKP1;PDGFRB;F2R;PGF;BCR;MSH2;CCNE2;IL23A;CCNE1;TP53;TCF7;MGST1;LPAR2;KLK3;CSF2RB;HIF1A;RASGRP1;TERT;HMOX1;RALGDS;IFNA21;FZD1;JAG2;SMAD3;JUP;TGFB3;BRAF;GADD45G;IL4;BMP4;BMP2;CDK6;IL5;CDK2;FGF18;GNB1;MDM2;BCL2;GNAS;GNB4;IFNA5;CDKN1A;FLT3;IFNA2;GLI1;BRCA2;GLI3;BBC3;SHH;CASP8;MECOM;HRAS;NKX3-1;NCOA1;APAF1;IFNGR1;NCOA3;FOS;AXIN2;MMP9;DDB2;CCNA1;IFNG;TRAF3;RARA;RARB;BIRC5;BIRC7;MET;BIRC3;CEBPA;FH;HDAC1;LAMA4;LEF1;XIAP;RXRB;GNA11;ERBB2;E2F1;E2F2;STAT6;HES1;IL12RB1;RXRG;CDKN2B;TCF7L1;NOS2;CDKN2A;TXNRD1;VEGFB;VEGFD;PML;EPOR;VEGFA;MAPK10;RAD51;APC;IL2RB;CCDC6;FAS
Cell cycle	50/124	3.1326936394340745E-28	4.8243482047284746E-26	0	0	6.487945397451535	410.88475710232694	CDKN1A;MCM7;CDC14A;CDC14B;CCND2;CHEK1;SKP1;CDC25C;SMC1A;CDC25A;CDC25B;CCNA2;CCNA1;TFDP1;RBL1;DBF4;CCNE2;CCNE1;MCM3;MCM4;MCM5;MCM6;TP53;MCM2;PRKDC;HDAC1;TTK;ORC4;ORC6;CDC45;ORC1;ORC2;E2F1;E2F2;E2F4;CDKN2B;SMAD3;TGFB3;CDKN2A;PLK1;CDC7;CDC6;GADD45G;CDK7;WEE1;CDK6;CDC16;CDK2;MDM2;ATM
p53 signaling pathway	32/72	4.24841180311242E-20	4.361702784528751E-18	0	0	7.15115759363547	318.97850462265615	CDKN1A;CD82;EI24;THBS1;BBC3;PIDD1;CASP8;CCND2;AIFM2;ZMAT3;CHEK1;GTSE1;RPRM;RRM2;APAF1;CDKN2A;TSC2;TNFRSF10B;DDB2;GADD45G;CDK6;RRM2B;CCNE2;CCNE1;CCNG2;ADGRB1;CDK2;BCL2;MDM2;FAS;ATM;TP53
Epstein-Barr virus infection	53/201	7.403798126902567E-20	5.7009245577149765E-18	0	0	4.242664393238955	186.88813076535553	IFNA5;CD40;CDKN1A;IFNA2;RBPJ;PSMD8;TBK1;CCND2;CASP8;MAP3K7;PDIA3;USP7;SYK;APAF1;TYK2;DDB2;SAP30;NCOR2;CCNA2;CCNA1;CCNE2;OAS1;IRF3;CCNE1;TRAF3;IRF7;TP53;CD44;IRF9;TLR2;HDAC1;IRAK1;CD19;E2F1;E2F2;HES1;MAP2K6;IFNA21;LYN;IFNB1;MAPK14;MAPK12;GADD45G;MAPK13;MAPK10;MAVS;CDK6;CDK2;HLA-DPB1;MDM2;BCL2;FAS;NFKBIB
Hepatitis B	46/163	1.0946172511364473E-18	6.742842267000515E-17	0	0	4.5407657112961415	187.78848304341903	IFNA5;ATF2;CDKN1A;IFNA2;ELK1;TBK1;CASP8;IRAK1;E2F1;E2F2;PTK2B;STAT6;MAP3K7;HRAS;MAP2K6;IFNA21;SMAD3;APAF1;TGFB3;IFNB1;BRAF;TYK2;FOS;MAPK14;MMP9;MAPK12;NFATC4;DDB2;MAPK13;CCNA2;DDB1;MAPK10;CCNA1;MAVS;CREB1;CCNE2;IRF3;CCNE1;TRAF3;CDK2;BCL2;IRF7;BIRC5;FAS;TP53;TLR2
PI3K-Akt signaling pathway	66/354	6.408569229077813E-16	3.289732204259944E-14	0	0	2.9998500074996253	104.94592905678495	IFNA5;ATF2;CDKN1A;CSF1;EPO;FLT3;IFNA2;ITGA2B;PRL;BRCA1;AREG;IGF1R;FGF4;RPTOR;FGF7;CCND2;PPP2R1B;HRAS;PDGFRB;SYK;VWF;F2R;TSC2;TSC1;PGF;CREB1;CCNE2;CCNE1;EIF4E2;TP53;MET;EPHA2;TLR2;PHLPP2;CSH1;LAMA4;LPAR2;THBS1;PIK3R5;CD19;ERBB2;PCK1;PCK2;IFNA21;NGFR;IFNB1;INSR;VEGFB;OSM;VEGFD;EPOR;VEGFA;IL4;GH2;G6PC2;CDK6;PPP2R2C;RHEB;FGF18;GNB1;CDK2;PPP2R2D;IL2RB;GNB4;MDM2;BCL2
JAK-STAT signaling pathway	39/162	1.4313724645699837E-13	6.298038844107928E-12	0	0	3.873543696552546	114.55994814620202	IFNA5;CDKN1A;CSF2;EPO;CSH1;IFNA2;MPL;CSF2RB;PRL;SOCS2;CCND2;STAT6;IL13RA2;IL12RB1;HRAS;IFNL3;IFNA21;PDGFRB;PIAS4;IL10;PIAS3;CISH;IL11RA;IFNGR1;IFNB1;OSM;TYK2;EPOR;GFAP;IL4;GH2;IL5;IFNG;IL23A;LEP;IL2RB;BCL2;PTPN6;IRF9
MAPK signaling pathway	55/295	1.7533799969545382E-13	6.750512988274972E-12	0	0	2.9998500074996253	88.11177698203875	ATF2;CSF1;FLT3;ELK1;AREG;IGF1R;FGF4;FGF7;DUSP10;MECOM;RPS6KA2;STMN1;PRKACA;HRAS;MAP3K7;MAP3K5;PDGFRB;DAXX;DUSP1;FOS;DUSP6;PGF;CDC25B;CACNB1;MRAS;DDIT3;TP53;MET;EPHA2;CACNA1C;RASGRP1;CACNA1H;MAPK7;IRAK1;MKNK1;ERBB2;MAP2K5;CACNG4;MAP2K6;NGFR;JUND;TGFB3;INSR;VEGFB;BRAF;VEGFD;MAPK14;MAPK12;GADD45G;VEGFA;MAPK13;MAPK10;FGF18;FAS;PTPN7
Cellular senescence	38/160	4.634866361698105E-13	1.5861542660033514E-11	0	0	3.8213998390989543	108.5277510080878	CDKN1A;FOXM1;KIR2DL3;ZFP36L1;CCND2;CHEK1;E2F1;E2F2;MYBL2;E2F4;HRAS;MAP2K6;CDKN2B;SMAD3;TGFB3;CDKN2A;TSC2;TSC1;HIPK1;MAPK14;CDC25A;MAPK12;GADD45G;NFATC4;MAPK13;CCNA2;CCNA1;CDK6;RBL1;MRAS;CCNE2;CCNE1;RHEB;CDK2;MDM2;ATM;SQSTM1;TP53
Measles	34/138	2.5788498986968844E-12	7.942857687986404E-11	0	0	3.9642286660370543	105.78019962581979	IFNA5;IFNA2;BBC3;CCND2;TBK1;CASP8;IRAK1;MAP3K7;IFNA21;CSNK2A1;APAF1;IFNB1;MSN;TYK2;FOS;MAPK10;MAVS;CDK6;CCNE2;OAS1;IRF3;CCNE1;TRAF3;CDK2;IL2RB;BCL2;TLR9;IRF7;FAS;CD46;TP53;IRF9;NFKBIB;TLR2
